Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
UCOBANK,UCO Bank,₹25.10,₹34.65,27.6%,31.62,24.07,31.62,,20.6%,0.95,1.75%,8.6%,—,—,—,—,0,0,—,—,₹311.36B,Finance,BSE
UCOBANK,UCO Bank,₹25.10,₹34.65,27.6%,31.62,24.07,31.62,,20.6%,0.95,1.75%,8.6%,—,—,—,—,0,0,—,—,₹311.36B,Finance,NSE
ACC,ACC Limited,₹1352.00,₹2027.75,33.3%,1640.92,1838.87,1640.92,,17.6%,1.24,0.55%,10.9%,—,—,—,—,0,0,—,—,₹257.23B,Non-Energy Minerals,BSE
ACC,ACC Limited,₹1350.90,₹2028.80,33.4%,1640.92,1838.87,1640.92,,17.7%,1.23,0.55%,10.9%,—,—,—,—,0,0,—,—,₹257.23B,Non-Energy Minerals,NSE
PSB,Punjab & Sind Bank Ltd.,₹23.41,₹34.45,32.0%,33.20,27.42,33.20,,29.5%,1.18,1.66%,9.6%,—,—,—,—,0,0,—,—,₹167.88B,Finance,NSE
PSB,Punjab & Sind Bank Ltd.,₹23.44,₹34.43,31.9%,33.20,27.42,33.20,,29.4%,1.18,1.66%,9.6%,—,—,—,—,0,0,—,—,₹167.88B,Finance,BSE
IBULLSLTD,Indiabulls Limited,₹24.33,₹24.33,0.0%,56.93,40.38,56.93,,57.3%,1.83,—,19.5%,—,—,—,—,0,0,—,—,₹51.64B,Finance,NSE
IBULLSLTD,Indiabulls Limited,₹24.27,₹24.27,0.0%,56.93,40.38,56.93,,57.4%,1.83,—,19.5%,—,—,—,—,0,0,—,—,₹51.64B,Finance,BSE
JUSTDIAL,Just Dial Ltd.,₹528.95,₹957.70,44.8%,742.74,719.83,742.74,,28.8%,0.88,—,10.2%,—,—,—,—,0,0,—,—,₹44.91B,Technology Services,BSE
JUSTDIAL,Just Dial Ltd.,₹530.10,₹957.90,44.7%,742.74,719.83,742.74,,28.6%,0.88,—,10.2%,—,—,—,—,0,0,—,—,₹44.91B,Technology Services,NSE
ORIENTCEM,Orient Cement Ltd.,₹135.11,₹355.00,61.9%,142.39,152.54,142.39,,5.1%,1.29,0.37%,17.1%,—,—,—,—,0,0,—,—,₹28.29B,Non-Energy Minerals,NSE
ORIENTCEM,Orient Cement Ltd.,₹135.25,₹355.20,61.9%,142.39,152.54,142.39,,5.0%,1.29,0.37%,17.1%,—,—,—,—,0,0,—,—,₹28.29B,Non-Energy Minerals,BSE
BHARATRAS,Bharat Rasayan Limited,₹1442.30,₹3000.00,51.9%,1596.37,2273.56,1596.37,,9.7%,1.88,0.03%,12.1%,—,—,—,—,0,0,—,—,₹24.24B,Process Industries,NSE
BHARATRAS,Bharat Rasayan Limited,₹1444.25,₹3030.25,52.3%,1596.37,2273.56,1596.37,,9.5%,1.88,0.03%,12.1%,—,—,—,—,0,0,—,—,₹24.24B,Process Industries,BSE
HGS,Hinduja Global Solutions Limited,₹403.55,₹628.80,35.8%,525.85,715.26,525.85,,23.3%,0.23,—,-1.3%,—,—,—,—,0,0,—,—,₹18.76B,Commercial Services,BSE
HGS,Hinduja Global Solutions Limited,₹404.95,₹628.70,35.6%,525.85,715.26,525.85,,23.0%,0.23,—,-1.3%,—,—,—,—,0,0,—,—,₹18.76B,Commercial Services,NSE
MBLINFRA,MBL Infrastructure Limited,₹28.18,₹52.48,46.3%,59.75,27.14,59.75,,52.8%,0.46,—,-2.4%,—,—,—,—,0,0,—,—,₹4.38B,Industrial Services,NSE
MBLINFRA,MBL Infrastructure Limited,₹28.28,₹52.00,45.6%,59.75,27.14,59.75,,52.7%,0.46,—,-2.4%,—,—,—,—,0,0,—,—,₹4.38B,Industrial Services,BSE
UCAL,UCAL Limited,₹100.00,₹165.50,39.6%,129.94,131.02,129.94,96.46,23.0%,0.68,—,-9.8%,—,—,—,—,0,0,—,—,₹2.16B,Producer Manufacturing,BSE
UCAL,UCAL Limited,₹97.04,₹166.00,41.5%,129.94,131.02,129.94,96.46,25.3%,0.66,—,-9.8%,—,—,—,—,0,0,—,—,₹2.16B,Producer Manufacturing,NSE
GULFPETRO,GP Petroleums Limited,₹41.98,₹51.00,17.7%,51.17,47.09,51.17,,18.0%,0.60,—,7.7%,—,—,—,—,0,0,—,—,₹2.04B,Energy Minerals,NSE
GULFPETRO,GP Petroleums Limited,₹41.90,₹51.00,17.8%,51.17,47.09,51.17,,18.1%,0.60,—,7.7%,—,—,—,—,0,0,—,—,₹2.04B,Energy Minerals,BSE
PILITA,PIL Italica Lifestyle Limited,₹8.09,₹20.64,60.8%,9.04,9.76,9.04,,10.6%,2.27,—,5.5%,—,—,—,—,0,0,—,—,₹1.91B,Producer Manufacturing,NSE
PILITA,PIL Italica Lifestyle Limited,₹8.22,₹20.51,59.9%,9.04,9.76,9.04,,9.1%,2.30,—,5.5%,—,—,—,—,0,0,—,—,₹1.91B,Producer Manufacturing,BSE
